image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
5364, 104.53821420669556, 1.041830062866211, 502042, 488331, 990373, 100, 0.05366361198927528, 99956, 1948.0279155936728, 1843.4897013869772, 0.0006725993246756712
5418, 105.57954955101013, 1.0413353443145752, 501322, 485014, 986336, 101, 0.054203849693865304, 99956, 1947.823819660533, 1842.2442701095229, 0.0006755835286290646
5472, 106.63211822509766, 1.0525686740875244, 500802, 481743, 982545, 102, 0.05474408739845532, 99956, 1947.828949069419, 1841.1968308443213, 0.0005685669822380612
5526, 107.6745719909668, 1.0424537658691406, 500293, 478555, 978848, 103, 0.05528432510304534, 99956, 1947.6510166357361, 1839.9764446447693, 0.0006628222355740121
5580, 108.7200939655304, 1.0455219745635986, 500034, 475420, 975454, 104, 0.05582456280763536, 99956, 1947.5314896807447, 1838.8113957152143, 0.0006331868720090839
5634, 109.75473833084106, 1.034644365310669, 499278, 472419, 971697, 105, 0.05636480051222538, 99956, 1947.2212681216809, 1837.4665297908398, 0.0007313778495762202
5688, 110.79274106025696, 1.0380027294158936, 498822, 469376, 968197, 106, 0.0569050382168154, 99956, 1946.9759538359783, 1836.1832127757214, 0.0006984165394645636
5742, 111.83077549934387, 1.038034439086914, 498516, 466650, 965166, 107, 0.05744527592140542, 99956, 1946.7358056099645, 1834.9050301106206, 0.0006961084581361687
5796, 112.8712317943573, 1.0404562950134277, 497967, 463773, 961739, 108, 0.05798551362599544, 99956, 1946.5418987641094, 1833.6706669697521, 0.000672712276991283
5850, 113.91493844985962, 1.0437066555023193, 497499, 460893, 958393, 109, 0.058525751330585456, 99956, 1946.4071090075502, 1832.4921705576905, 0.0006426979682284673
5904, 114.9521734714508, 1.0372350215911865, 496681, 458018, 954699, 110, 0.05906598903517548, 99956, 1946.1652187520895, 1831.2130452806387, 0.0006980249616360679
5958, 115.98930644989014, 1.037132978439331, 496047, 455352, 951400, 111, 0.0596062267397655, 99956, 1945.9260012596876, 1829.9366948097975, 0.0006969972577087757
6012, 117.02838659286499, 1.0390801429748535, 495561, 452580, 948141, 112, 0.060146464444355514, 99956, 1945.7234548031292, 1828.6950682102643, 0.0006785079522448889
6066, 118.06709623336792, 1.0387096405029297, 495111, 450069, 945180, 113, 0.06068670214894554, 99956, 1945.518409347597, 1827.4513131142292, 0.0006801325806889968
6120, 119.10509443283081, 1.0379981994628906, 494540, 447450, 941991, 114, 0.061226939853535556, 99956, 1945.3053626026203, 1826.2002681697895, 0.0006845845552556629
6174, 120.1434485912323, 1.0383541584014893, 493977, 444866, 938844, 115, 0.06176717755812557, 99956, 1945.101805536964, 1824.9583569457318, 0.0006800520434171453
6228, 121.17782139778137, 1.0343728065490723, 493389, 442363, 935753, 116, 0.0623074152627156, 99956, 1944.8378798388944, 1823.660058441113, 0.0007114126739810045
6282, 122.21306657791138, 1.0352451801300049, 492848, 439827, 932675, 117, 0.06284765296730561, 99956, 1944.592372311638, 1822.3793057337266, 0.0007022979427872
6336, 123.25840878486633, 1.045342206954956, 492470, 437281, 929751, 118, 0.06338789067189564, 99956, 1944.5103390940812, 1821.251930309215, 0.0006186283069417042
6390, 124.30028629302979, 1.0418775081634521, 491780, 434828, 926608, 119, 0.06392812837648565, 99956, 1944.3754955721574, 1820.0752092791276, 0.0006461055774351632
6444, 125.3461046218872, 1.0458183288574219, 491558, 432425, 923983, 120, 0.06446836608107567, 99956, 1944.3040399728984, 1818.9579353510112, 0.0006138614066167891
6498, 126.39474105834961, 1.0486364364624023, 491023, 430049, 921072, 121, 0.0650086037856657, 99956, 1944.277121764911, 1817.8823807065614, 0.0005913026483717054
